id,title,overview,release_date,poster_path,youtube_trailer_id,vote_average,vote_count
902,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-17,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,F-F3Fz6DadE,7.2,1203
37557,Shanghai Triad,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",1995-09-14,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,xgIHRczRE1Q,6.8,109
9909,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",1995-08-11,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,gA-5nLQCmW8,7.0,1248
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",1995-12-29,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,Xwh1xBzsc1Q,7.6,9031
9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",1995-07-18,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,tVxeoUtVF0o,6.3,3089
687,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1995-12-29,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,CB89rktO_Ws,7.3,1485
33689,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1995-11-17,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,yh1OH4NnLWQ,6.5,957
9603,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,KeGqX4GVBZE,7.3,4754
34615,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1995-12-15,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,1nejmbo5c9A,6.7,27
31174,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",1995-12-29,/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,k20svFhRI44,6.7,192
