Date,Buy Price,Sell Price
2023-11-11,69300000,70300000
2023-11-12,69300000,70300000
2023-11-13,69400000,70300000
2023-11-14,69550000,70400000
2023-11-15,69700000,70550000
2023-11-16,69650000,70450000
2023-11-17,69950000,70750000
2023-11-18,69950000,70750000
2023-11-19,69950000,70750000
2023-11-20,70100000,70850000
2023-11-21,70500000,71200000
2023-11-22,71000000,72000000
2023-11-23,70900000,71700000
2023-11-24,70900000,71800000
2023-11-25,71200000,72300000
2023-11-26,71200000,72300000
2023-11-27,71500000,72500000
2023-11-28,72300000,73500000
2023-11-29,72200000,73700000
2023-11-30,72400000,73800000
2023-12-01,72300000,73500000
2023-12-02,72300000,74000000
2023-12-03,72300000,74000000
2023-12-04,72900000,74300000
2023-12-05,72800000,74100000
2023-12-06,72900000,74200000
2023-12-07,73000000,74300000
2023-12-08,73000000,74100000
2023-12-09,72800000,74100000
2023-12-10,72800000,74100000
2023-12-11,72600000,73900000
2023-12-12,72400000,73500000
2023-12-13,72800000,73800000
2023-12-14,73200000,74300000
2023-12-15,73200000,74300000
2023-12-16,73200000,74400000
2023-12-17,73200000,74400000
2023-12-18,73300000,74350000
2023-12-19,73850000,74900000
2023-12-20,74500000,75500000
2023-12-21,74650000,75700000
2023-12-22,75700000,77000000
2023-12-23,75700000,77000000
2023-12-24,75700000,77000000
2023-12-25,77300000,78500000
2023-12-26,77200000,79500000
2023-12-27,77800000,79500000
2023-12-28,72000000,77500000
2023-12-29,70000000,76000000
2023-12-30,68000000,74000000
2023-12-31,68000000,74000000
2024-01-01,68000000,74000000
2024-01-02,72000000,75000000
2024-01-03,72400000,75500000
2024-01-04,72000000,75000000
2024-01-05,72000000,75000000
2024-01-06,72000000,75000000
2024-01-07,72000000,75000000
2024-01-08,71000000,74000000
2024-01-09,71450000,74450000
2024-01-10,71450000,74450000
2024-01-11,72750000,75250000
2024-01-12,73450000,75950000
2024-01-13,73950000,76950000
2024-01-14,73950000,76950000
2024-01-15,73950000,76450000
2024-01-16,73950000,76450000
2024-01-17,73650000,76150000
2024-01-18,73950000,76450000
2024-01-19,74250000,76750000
2024-01-20,73650000,76650000
2024-01-21,73650000,76650000
2024-01-22,73450000,75950000
2024-01-23,73950000,76450000
2024-01-24,74150000,76650000
2024-01-25,73950000,76450000
2024-01-26,73900000,76750000
2024-01-27,73900000,76650000
2024-01-28,73900000,76650000
2024-01-29,74150000,76750000
2024-01-30,74850000,77350000
2024-01-31,75250000,77850000
2024-02-01,75850000,78250000
2024-02-02,76050000,78450000
2024-02-03,75950000,78250000
2024-02-04,75950000,78250000
2024-02-05,76050000,78350000
2024-02-06,76150000,78450000
2024-02-07,76550000,78850000
2024-02-08,76550000,78850000
2024-02-09,76550000,78850000
2024-02-10,76550000,78850000
2024-02-11,76550000,78850000
2024-02-12,76550000,78850000
2024-02-13,76550000,78850000
2024-02-14,76550000,78850000
2024-02-15,76350000,78750000
2024-02-16,76150000,78350000
2024-02-17,76050000,78550000
2024-02-18,75750000,78350000
2024-02-19,74900000,77900000
2024-02-20,75850000,78150000
2024-02-21,75750000,77950000
2024-02-22,76450000,78650000
2024-02-23,76250000,78450000
2024-02-24,76450000,78650000
2024-02-25,76450000,78650000
2024-02-26,76750000,78950000
2024-02-27,76850000,78850000
2024-02-28,77250000,79250000
2024-02-29,77450000,79450000
2024-03-01,77750000,79750000
2024-03-02,77650000,80250000
2024-03-03,77650000,80250000
2024-03-04,78350000,80350000
2024-03-05,78750000,80750000
2024-03-06,78950000,80950000
2024-03-07,79750000,81750000
2024-03-08,79850000,81850000
2024-03-09,79450000,81950000
2024-03-10,79450000,81950000
2024-03-11,80150000,82150000
2024-03-12,80000000,82100000
2024-03-13,78000000,80500000
2024-03-14,79500000,81500000
2024-03-15,79700000,81700000
2024-03-16,79400000,81400000
2024-03-17,79400000,81400000
2024-03-18,79300000,81300000
2024-03-19,79400000,81400000
2024-03-20,79300000,81300000
2024-03-21,78500000,80500000
2024-03-22,77700000,79700000
2024-03-23,78100000,80100000
2024-03-24,78100000,80100000
2024-03-25,77750000,79750000
2024-03-26,78100000,80100000
2024-03-27,78800000,80800000
2024-03-28,79000000,81000000
2024-03-29,78800000,80800000
2024-03-30,78800000,80800000
2024-03-31,78800000,80800000
2024-04-01,78300000,80800000
2024-04-02,78600000,81100000
2024-04-03,78900000,81000000
2024-04-04,78700000,81000000
2024-04-05,78900000,81300000
2024-04-06,79000000,82000000
2024-04-07,79000000,82000000
2024-04-08,79500000,82100000
2024-04-09,82500000,84700000
2024-04-10,82300000,84300000
2024-04-11,81900000,83900000
2024-04-12,82800000,84800000
2024-04-13,80600000,83100000
2024-04-14,80600000,83100000
2024-04-15,81800000,84100000
2024-04-16,81700000,83800000
2024-04-17,82000000,84000000
2024-04-18,82000000,84000000
2024-04-19,81650000,83650000
2024-04-20,81650000,83850000
2024-04-21,81650000,83850000
2024-04-22,81000000,83450000
2024-04-23,80000000,82500000
2024-04-24,82000000,84000000
2024-04-25,81800000,84000000
2024-04-26,82600000,84800000
2024-04-27,82600000,84800000
2024-04-28,82600000,84800000
2024-04-29,82600000,84800000
2024-04-30,82600000,84800000
2024-05-01,82600000,84800000
2024-05-02,82600000,84900000
2024-05-03,83500000,85700000
2024-05-04,83500000,85700000
2024-05-05,83500000,85700000
2024-05-06,84300000,85800000
2024-05-07,85300000,86800000
2024-05-08,85200000,86700000
2024-05-09,86800000,88300000
2024-05-10,90100000,91400000
2024-05-11,87700000,89200000
2024-05-12,86000000,87500000
2024-05-13,87500000,89000000
2024-05-14,86500000,88500000
2024-05-15,87700000,89400000
2024-05-16,87500000,89500000
2024-05-17,87400000,89500000
2024-05-18,87700000,89800000
2024-05-19,87700000,89800000
2024-05-20,89000000,90500000
2024-05-21,88600000,90400000
2024-05-22,88900000,90500000
2024-05-23,87800000,89600000
2024-05-24,87500000,89300000
2024-05-25,87500000,89300000
2024-05-26,87500000,89300000
2024-05-27,87700000,89300000
2024-05-28,88400000,90000000
2024-05-29,88300000,89900000
2024-05-30,84750000,87500000
2024-05-31,83050000,85950000
2024-06-01,80950000,82750000
2024-06-02,80950000,82750000
2024-06-03,77500000,79500000
2024-06-04,77680000,78980000
2024-06-05,76880000,77980000
2024-06-06,74980000,76980000
2024-06-07,74980000,76980000
2024-06-08,74980000,76980000
2024-06-09,74980000,76980000
2024-06-10,74980000,76980000
2024-06-11,74980000,76980000
2024-06-12,74980000,76980000
2024-06-13,74980000,76980000
2024-06-14,74980000,76980000
2024-06-15,74980000,76980000
2024-06-16,74980000,76980000
2024-06-17,75300000,76980000
2024-06-18,75300000,76980000
2024-06-19,74980000,76980000
2024-06-20,74980000,76980000
